,tile,el_i_in_tile,el,config
0,0,0,4414,127
1,0,1,4634,127
2,0,2,4854,127
3,0,3,5074,127
4,0,4,4415,127
5,0,5,4635,127
6,0,6,4855,127
7,0,7,5075,127
8,0,8,4416,127
9,0,9,4636,127
10,0,10,4856,127
11,0,11,5076,127
12,0,12,4417,127
13,0,13,4637,127
14,0,14,4857,127
15,0,15,5077,127
16,1,0,4438,127
17,1,1,4658,127
18,1,2,4878,127
19,1,3,5098,127
20,1,4,4439,127
21,1,5,4659,127
22,1,6,4879,127
23,1,7,5099,127
24,1,8,4440,127
25,1,9,4660,127
26,1,10,4880,127
27,1,11,5100,127
28,1,12,4441,127
29,1,13,4661,127
30,1,14,4881,127
31,1,15,5101,127
32,2,0,4462,127
33,2,1,4682,127
34,2,2,4902,127
35,2,3,5122,127
36,2,4,4463,127
37,2,5,4683,127
38,2,6,4903,127
39,2,7,5123,127
40,2,8,4464,127
41,2,9,4684,127
42,2,10,4904,127
43,2,11,5124,127
44,2,12,4465,127
45,2,13,4685,127
46,2,14,4905,127
47,2,15,5125,127
48,3,0,4486,127
49,3,1,4706,127
50,3,2,4926,127
51,3,3,5146,127
52,3,4,4487,127
53,3,5,4707,127
54,3,6,4927,127
55,3,7,5147,127
56,3,8,4488,127
57,3,9,4708,127
58,3,10,4928,127
59,3,11,5148,127
60,3,12,4489,127
61,3,13,4709,127
62,3,14,4929,127
63,3,15,5149,127
64,4,0,4510,127
65,4,1,4730,127
66,4,2,4950,127
67,4,3,5170,127
68,4,4,4511,127
69,4,5,4731,127
70,4,6,4951,127
71,4,7,5171,127
72,4,8,4512,127
73,4,9,4732,127
74,4,10,4952,127
75,4,11,5172,127
76,4,12,4513,127
77,4,13,4733,127
78,4,14,4953,127
79,4,15,5173,127
80,5,0,4534,127
81,5,1,4754,127
82,5,2,4974,127
83,5,3,5194,127
84,5,4,4535,127
85,5,5,4755,127
86,5,6,4975,127
87,5,7,5195,127
88,5,8,4536,127
89,5,9,4756,127
90,5,10,4976,127
91,5,11,5196,127
92,5,12,4537,127
93,5,13,4757,127
94,5,14,4977,127
95,5,15,5197,127
96,6,0,4558,127
97,6,1,4778,127
98,6,2,4998,127
99,6,3,5218,127
100,6,4,4559,127
101,6,5,4779,127
102,6,6,4999,127
103,6,7,5219,127
104,6,8,4560,127
105,6,9,4780,127
106,6,10,5000,127
107,6,11,5220,127
108,6,12,4561,127
109,6,13,4781,127
110,6,14,5001,127
111,6,15,5221,127
112,7,0,4582,127
113,7,1,4802,127
114,7,2,5022,127
115,7,3,5242,127
116,7,4,4583,127
117,7,5,4803,127
118,7,6,5023,127
119,7,7,5243,127
120,7,8,4584,127
121,7,9,4804,127
122,7,10,5024,127
123,7,11,5244,127
124,7,12,4585,127
125,7,13,4805,127
126,7,14,5025,127
127,7,15,5245,127
128,8,0,4606,127
129,8,1,4826,127
130,8,2,5046,127
131,8,3,5266,127
132,8,4,4607,127
133,8,5,4827,127
134,8,6,5047,127
135,8,7,5267,127
136,8,8,4608,127
137,8,9,4828,127
138,8,10,5048,127
139,8,11,5268,127
140,8,12,4609,127
141,8,13,4829,127
142,8,14,5049,127
143,8,15,5269,127
144,9,0,13214,127
145,9,1,13434,127
146,9,2,13654,127
147,9,3,13874,127
148,9,4,13215,127
149,9,5,13435,127
150,9,6,13655,127
151,9,7,13875,127
152,9,8,13216,127
153,9,9,13436,127
154,9,10,13656,127
155,9,11,13876,127
156,9,12,13217,127
157,9,13,13437,127
158,9,14,13657,127
159,9,15,13877,127
160,10,0,13238,127
161,10,1,13458,127
162,10,2,13678,127
163,10,3,13898,127
164,10,4,13239,127
165,10,5,13459,127
166,10,6,13679,127
167,10,7,13899,127
168,10,8,13240,127
169,10,9,13460,127
170,10,10,13680,127
171,10,11,13900,127
172,10,12,13241,127
173,10,13,13461,127
174,10,14,13681,127
175,10,15,13901,127
176,11,0,13262,127
177,11,1,13482,127
178,11,2,13702,127
179,11,3,13922,127
180,11,4,13263,127
181,11,5,13483,127
182,11,6,13703,127
183,11,7,13923,127
184,11,8,13264,127
185,11,9,13484,127
186,11,10,13704,127
187,11,11,13924,127
188,11,12,13265,127
189,11,13,13485,127
190,11,14,13705,127
191,11,15,13925,127
192,12,0,13286,127
193,12,1,13506,127
194,12,2,13726,127
195,12,3,13946,127
196,12,4,13287,127
197,12,5,13507,127
198,12,6,13727,127
199,12,7,13947,127
200,12,8,13288,127
201,12,9,13508,127
202,12,10,13728,127
203,12,11,13948,127
204,12,12,13289,127
205,12,13,13509,127
206,12,14,13729,127
207,12,15,13949,127
208,13,0,13310,127
209,13,1,13530,127
210,13,2,13750,127
211,13,3,13970,127
212,13,4,13311,127
213,13,5,13531,127
214,13,6,13751,127
215,13,7,13971,127
216,13,8,13312,127
217,13,9,13532,127
218,13,10,13752,127
219,13,11,13972,127
220,13,12,13313,127
221,13,13,13533,127
222,13,14,13753,127
223,13,15,13973,127
224,14,0,13334,127
225,14,1,13554,127
