,tile,el_i_in_tile,el,config
0,0,0,2654,79
1,0,1,2874,79
2,0,2,3094,79
3,0,3,3314,79
4,0,4,2655,79
5,0,5,2875,79
6,0,6,3095,79
7,0,7,3315,79
8,0,8,2656,79
9,0,9,2876,79
10,0,10,3096,79
11,0,11,3316,79
12,0,12,2657,79
13,0,13,2877,79
14,0,14,3097,79
15,0,15,3317,79
16,1,0,2678,79
17,1,1,2898,79
18,1,2,3118,79
19,1,3,3338,79
20,1,4,2679,79
21,1,5,2899,79
22,1,6,3119,79
23,1,7,3339,79
24,1,8,2680,79
25,1,9,2900,79
26,1,10,3120,79
27,1,11,3340,79
28,1,12,2681,79
29,1,13,2901,79
30,1,14,3121,79
31,1,15,3341,79
32,2,0,2702,79
33,2,1,2922,79
34,2,2,3142,79
35,2,3,3362,79
36,2,4,2703,79
37,2,5,2923,79
38,2,6,3143,79
39,2,7,3363,79
40,2,8,2704,79
41,2,9,2924,79
42,2,10,3144,79
43,2,11,3364,79
44,2,12,2705,79
45,2,13,2925,79
46,2,14,3145,79
47,2,15,3365,79
48,3,0,2726,79
49,3,1,2946,79
50,3,2,3166,79
51,3,3,3386,79
52,3,4,2727,79
53,3,5,2947,79
54,3,6,3167,79
55,3,7,3387,79
56,3,8,2728,79
57,3,9,2948,79
58,3,10,3168,79
59,3,11,3388,79
60,3,12,2729,79
61,3,13,2949,79
62,3,14,3169,79
63,3,15,3389,79
64,4,0,2750,79
65,4,1,2970,79
66,4,2,3190,79
67,4,3,3410,79
68,4,4,2751,79
69,4,5,2971,79
70,4,6,3191,79
71,4,7,3411,79
72,4,8,2752,79
73,4,9,2972,79
74,4,10,3192,79
75,4,11,3412,79
76,4,12,2753,79
77,4,13,2973,79
78,4,14,3193,79
79,4,15,3413,79
80,5,0,2774,79
81,5,1,2994,79
82,5,2,3214,79
83,5,3,3434,79
84,5,4,2775,79
85,5,5,2995,79
86,5,6,3215,79
87,5,7,3435,79
88,5,8,2776,79
89,5,9,2996,79
90,5,10,3216,79
91,5,11,3436,79
92,5,12,2777,79
93,5,13,2997,79
94,5,14,3217,79
