,tile,el_i_in_tile,el,config
0,0,0,1778,57
1,0,1,1998,57
2,0,2,2218,57
3,0,3,2438,57
4,0,4,1779,57
5,0,5,1999,57
6,0,6,2219,57
7,0,7,2439,57
8,0,8,1780,57
9,0,9,2000,57
10,0,10,2220,57
11,0,11,2440,57
12,0,12,1781,57
13,0,13,2001,57
14,0,14,2221,57
15,0,15,2441,57
16,1,0,1802,57
17,1,1,2022,57
18,1,2,2242,57
19,1,3,2462,57
20,1,4,1803,57
21,1,5,2023,57
22,1,6,2243,57
23,1,7,2463,57
24,1,8,1804,57
25,1,9,2024,57
26,1,10,2244,57
27,1,11,2464,57
28,1,12,1805,57
29,1,13,2025,57
30,1,14,2245,57
31,1,15,2465,57
32,2,0,1826,57
33,2,1,2046,57
34,2,2,2266,57
35,2,3,2486,57
36,2,4,1827,57
37,2,5,2047,57
38,2,6,2267,57
39,2,7,2487,57
40,2,8,1828,57
41,2,9,2048,57
42,2,10,2268,57
43,2,11,2488,57
44,2,12,1829,57
45,2,13,2049,57
46,2,14,2269,57
47,2,15,2489,57
48,3,0,1850,57
49,3,1,2070,57
50,3,2,2290,57
51,3,3,2510,57
52,3,4,1851,57
53,3,5,2071,57
54,3,6,2291,57
55,3,7,2511,57
56,3,8,1852,57
57,3,9,2072,57
58,3,10,2292,57
59,3,11,2512,57
60,3,12,1853,57
61,3,13,2073,57
62,3,14,2293,57
63,3,15,2513,57
64,4,0,1874,57
65,4,1,2094,57
66,4,2,2314,57
67,4,3,2534,57
68,4,4,1875,57
69,4,5,2095,57
70,4,6,2315,57
71,4,7,2535,57
72,4,8,1876,57
73,4,9,2096,57
74,4,10,2316,57
75,4,11,2536,57
76,4,12,1877,57
77,4,13,2097,57
78,4,14,2317,57
79,4,15,2537,57
80,5,0,1898,57
81,5,1,2118,57
82,5,2,2338,57
83,5,3,2558,57
84,5,4,1899,57
85,5,5,2119,57
86,5,6,2339,57
87,5,7,2559,57
88,5,8,1900,57
89,5,9,2120,57
90,5,10,2340,57
91,5,11,2560,57
92,5,12,1901,57
93,5,13,2121,57
94,5,14,2341,57
95,5,15,2561,57
96,6,0,1922,57
97,6,1,2142,57
98,6,2,2362,57
99,6,3,2582,57
