,tile,el_i_in_tile,el,config
0,0,0,2662,83
1,0,1,2882,83
2,0,2,3102,83
3,0,3,3322,83
4,0,4,2663,83
5,0,5,2883,83
6,0,6,3103,83
7,0,7,3323,83
8,0,8,2664,83
9,0,9,2884,83
10,0,10,3104,83
11,0,11,3324,83
12,0,12,2665,83
13,0,13,2885,83
14,0,14,3105,83
15,0,15,3325,83
16,1,0,2686,83
17,1,1,2906,83
18,1,2,3126,83
19,1,3,3346,83
20,1,4,2687,83
21,1,5,2907,83
22,1,6,3127,83
23,1,7,3347,83
24,1,8,2688,83
25,1,9,2908,83
26,1,10,3128,83
27,1,11,3348,83
28,1,12,2689,83
29,1,13,2909,83
30,1,14,3129,83
31,1,15,3349,83
32,2,0,2710,83
33,2,1,2930,83
34,2,2,3150,83
35,2,3,3370,83
36,2,4,2711,83
37,2,5,2931,83
38,2,6,3151,83
39,2,7,3371,83
40,2,8,2712,83
41,2,9,2932,83
42,2,10,3152,83
43,2,11,3372,83
44,2,12,2713,83
45,2,13,2933,83
46,2,14,3153,83
47,2,15,3373,83
48,3,0,2734,83
49,3,1,2954,83
50,3,2,3174,83
51,3,3,3394,83
52,3,4,2735,83
53,3,5,2955,83
54,3,6,3175,83
55,3,7,3395,83
56,3,8,2736,83
57,3,9,2956,83
58,3,10,3176,83
59,3,11,3396,83
60,3,12,2737,83
61,3,13,2957,83
62,3,14,3177,83
63,3,15,3397,83
64,4,0,2758,83
65,4,1,2978,83
66,4,2,3198,83
67,4,3,3418,83
68,4,4,2759,83
69,4,5,2979,83
70,4,6,3199,83
71,4,7,3419,83
72,4,8,2760,83
73,4,9,2980,83
74,4,10,3200,83
75,4,11,3420,83
76,4,12,2761,83
77,4,13,2981,83
78,4,14,3201,83
79,4,15,3421,83
80,5,0,2782,83
81,5,1,3002,83
82,5,2,3222,83
83,5,3,3442,83
84,5,4,2783,83
85,5,5,3003,83
86,5,6,3223,83
87,5,7,3443,83
88,5,8,2784,83
89,5,9,3004,83
90,5,10,3224,83
91,5,11,3444,83
92,5,12,2785,83
93,5,13,3005,83
94,5,14,3225,83
95,5,15,3445,83
96,6,0,2806,83
97,6,1,3026,83
98,6,2,3246,83
99,6,3,3466,83
