,tile,el_i_in_tile,el,config
0,0,0,7928,220
1,0,1,8148,220
2,0,2,8368,220
3,0,3,8588,220
4,0,4,7929,220
5,0,5,8149,220
6,0,6,8369,220
7,0,7,8589,220
8,0,8,7930,220
9,0,9,8150,220
10,0,10,8370,220
11,0,11,8590,220
12,0,12,7931,220
13,0,13,8151,220
14,0,14,8371,220
15,0,15,8591,220
16,1,0,7952,220
17,1,1,8172,220
18,1,2,8392,220
19,1,3,8612,220
20,1,4,7953,220
21,1,5,8173,220
22,1,6,8393,220
23,1,7,8613,220
24,1,8,7954,220
25,1,9,8174,220
26,1,10,8394,220
27,1,11,8614,220
28,1,12,7955,220
29,1,13,8175,220
30,1,14,8395,220
31,1,15,8615,220
32,2,0,7976,220
33,2,1,8196,220
34,2,2,8416,220
35,2,3,8636,220
36,2,4,7977,220
37,2,5,8197,220
38,2,6,8417,220
39,2,7,8637,220
40,2,8,7978,220
41,2,9,8198,220
42,2,10,8418,220
43,2,11,8638,220
44,2,12,7979,220
45,2,13,8199,220
46,2,14,8419,220
47,2,15,8639,220
48,3,0,8000,220
49,3,1,8220,220
50,3,2,8440,220
51,3,3,8660,220
52,3,4,8001,220
53,3,5,8221,220
54,3,6,8441,220
55,3,7,8661,220
56,3,8,8002,220
57,3,9,8222,220
58,3,10,8442,220
59,3,11,8662,220
60,3,12,8003,220
61,3,13,8223,220
62,3,14,8443,220
63,3,15,8663,220
64,4,0,8024,220
65,4,1,8244,220
66,4,2,8464,220
67,4,3,8684,220
68,4,4,8025,220
69,4,5,8245,220
70,4,6,8465,220
71,4,7,8685,220
72,4,8,8026,220
73,4,9,8246,220
74,4,10,8466,220
75,4,11,8686,220
76,4,12,8027,220
77,4,13,8247,220
78,4,14,8467,220
79,4,15,8687,220
80,5,0,8048,220
81,5,1,8268,220
82,5,2,8488,220
83,5,3,8708,220
84,5,4,8049,220
85,5,5,8269,220
86,5,6,8489,220
87,5,7,8709,220
88,5,8,8050,220
89,5,9,8270,220
90,5,10,8490,220
91,5,11,8710,220
92,5,12,8051,220
93,5,13,8271,220
