,tile,el_i_in_tile,el,config
0,0,0,7048,196
1,0,1,7268,196
2,0,2,7488,196
3,0,3,7708,196
4,0,4,7049,196
5,0,5,7269,196
6,0,6,7489,196
7,0,7,7709,196
8,0,8,7050,196
9,0,9,7270,196
10,0,10,7490,196
11,0,11,7710,196
12,0,12,7051,196
13,0,13,7271,196
14,0,14,7491,196
15,0,15,7711,196
16,1,0,7072,196
17,1,1,7292,196
18,1,2,7512,196
19,1,3,7732,196
20,1,4,7073,196
21,1,5,7293,196
22,1,6,7513,196
23,1,7,7733,196
24,1,8,7074,196
25,1,9,7294,196
26,1,10,7514,196
27,1,11,7734,196
28,1,12,7075,196
29,1,13,7295,196
30,1,14,7515,196
31,1,15,7735,196
32,2,0,7096,196
33,2,1,7316,196
34,2,2,7536,196
35,2,3,7756,196
36,2,4,7097,196
37,2,5,7317,196
38,2,6,7537,196
39,2,7,7757,196
40,2,8,7098,196
41,2,9,7318,196
42,2,10,7538,196
43,2,11,7758,196
44,2,12,7099,196
45,2,13,7319,196
46,2,14,7539,196
47,2,15,7759,196
48,3,0,7120,196
49,3,1,7340,196
50,3,2,7560,196
51,3,3,7780,196
52,3,4,7121,196
53,3,5,7341,196
54,3,6,7561,196
55,3,7,7781,196
56,3,8,7122,196
57,3,9,7342,196
58,3,10,7562,196
59,3,11,7782,196
60,3,12,7123,196
61,3,13,7343,196
62,3,14,7563,196
63,3,15,7783,196
64,4,0,7144,196
65,4,1,7364,196
66,4,2,7584,196
67,4,3,7804,196
68,4,4,7145,196
69,4,5,7365,196
70,4,6,7585,196
71,4,7,7805,196
72,4,8,7146,196
73,4,9,7366,196
74,4,10,7586,196
75,4,11,7806,196
76,4,12,7147,196
77,4,13,7367,196
78,4,14,7587,196
79,4,15,7807,196
80,5,0,7168,196
81,5,1,7388,196
82,5,2,7608,196
83,5,3,7828,196
84,5,4,7169,196
85,5,5,7389,196
86,5,6,7609,196
87,5,7,7829,196
88,5,8,7170,196
89,5,9,7390,196
90,5,10,7610,196
91,5,11,7830,196
92,5,12,7171,196
93,5,13,7391,196
94,5,14,7611,196
95,5,15,7831,196
96,6,0,7192,196
97,6,1,7412,196
98,6,2,7632,196
99,6,3,7852,196
100,6,4,7193,196
101,6,5,7413,196
102,6,6,7633,196
103,6,7,7853,196
104,6,8,7194,196
105,6,9,7414,196
106,6,10,7634,196
107,6,11,7854,196
108,6,12,7195,196
109,6,13,7415,196
110,6,14,7635,196
111,6,15,7855,196
112,7,0,7216,196
113,7,1,7436,196
114,7,2,7656,196
115,7,3,7876,196
