,tile,el_i_in_tile,el,config
0,0,0,6164,170
1,0,1,6384,170
2,0,2,6604,170
3,0,3,6824,170
4,0,4,6165,170
5,0,5,6385,170
6,0,6,6605,170
7,0,7,6825,170
8,0,8,6166,170
9,0,9,6386,170
10,0,10,6606,170
11,0,11,6826,170
12,0,12,6167,170
13,0,13,6387,170
14,0,14,6607,170
15,0,15,6827,170
16,1,0,6188,170
17,1,1,6408,170
18,1,2,6628,170
19,1,3,6848,170
20,1,4,6189,170
21,1,5,6409,170
22,1,6,6629,170
23,1,7,6849,170
24,1,8,6190,170
25,1,9,6410,170
26,1,10,6630,170
27,1,11,6850,170
28,1,12,6191,170
29,1,13,6411,170
30,1,14,6631,170
31,1,15,6851,170
32,2,0,6212,170
33,2,1,6432,170
34,2,2,6652,170
35,2,3,6872,170
36,2,4,6213,170
37,2,5,6433,170
38,2,6,6653,170
39,2,7,6873,170
40,2,8,6214,170
41,2,9,6434,170
42,2,10,6654,170
43,2,11,6874,170
44,2,12,6215,170
45,2,13,6435,170
46,2,14,6655,170
47,2,15,6875,170
48,3,0,6236,170
49,3,1,6456,170
50,3,2,6676,170
51,3,3,6896,170
52,3,4,6237,170
53,3,5,6457,170
54,3,6,6677,170
55,3,7,6897,170
56,3,8,6238,170
57,3,9,6458,170
58,3,10,6678,170
59,3,11,6898,170
60,3,12,6239,170
61,3,13,6459,170
62,3,14,6679,170
63,3,15,6899,170
64,4,0,6260,170
65,4,1,6480,170
66,4,2,6700,170
67,4,3,6920,170
68,4,4,6261,170
69,4,5,6481,170
70,4,6,6701,170
71,4,7,6921,170
72,4,8,6262,170
73,4,9,6482,170
74,4,10,6702,170
75,4,11,6922,170
76,4,12,6263,170
77,4,13,6483,170
78,4,14,6703,170
79,4,15,6923,170
80,5,0,6284,170
81,5,1,6504,170
82,5,2,6724,170
83,5,3,6944,170
84,5,4,6285,170
85,5,5,6505,170
86,5,6,6725,170
87,5,7,6945,170
88,5,8,6286,170
89,5,9,6506,170
90,5,10,6726,170
91,5,11,6946,170
92,5,12,6287,170
93,5,13,6507,170
94,5,14,6727,170
95,5,15,6947,170
96,6,0,6308,170
97,6,1,6528,170
98,6,2,6748,170
99,6,3,6968,170
100,6,4,6309,170
101,6,5,6529,170
102,6,6,6749,170
103,6,7,6969,170
104,6,8,6310,170
105,6,9,6530,170
106,6,10,6750,170
107,6,11,6970,170
108,6,12,6311,170
109,6,13,6531,170
110,6,14,6751,170
111,6,15,6971,170
112,7,0,6332,170
113,7,1,6552,170
114,7,2,6772,170
115,7,3,6992,170
116,7,4,6333,170
117,7,5,6553,170
118,7,6,6773,170
119,7,7,6993,170
120,7,8,6334,170
121,7,9,6554,170
122,7,10,6774,170
123,7,11,6994,170
124,7,12,6335,170
125,7,13,6555,170
126,7,14,6775,170
127,7,15,6995,170
128,8,0,6356,170
129,8,1,6576,170
130,8,2,6796,170
131,8,3,7016,170
132,8,4,6357,170
133,8,5,6577,170
134,8,6,6797,170
135,8,7,7017,170
136,8,8,6358,170
137,8,9,6578,170
138,8,10,6798,170
139,8,11,7018,170
140,8,12,6359,170
141,8,13,6579,170
142,8,14,6799,170
143,8,15,7019,170
144,9,0,14964,170
145,9,1,15184,170
146,9,2,15404,170
147,9,3,15624,170
148,9,4,14965,170
149,9,5,15185,170
150,9,6,15405,170
151,9,7,15625,170
152,9,8,14966,170
153,9,9,15186,170
154,9,10,15406,170
155,9,11,15626,170
156,9,12,14967,170
157,9,13,15187,170
158,9,14,15407,170
159,9,15,15627,170
160,10,0,14988,170
161,10,1,15208,170
162,10,2,15428,170
163,10,3,15648,170
164,10,4,14989,170
165,10,5,15209,170
166,10,6,15429,170
167,10,7,15649,170
168,10,8,14990,170
169,10,9,15210,170
170,10,10,15430,170
171,10,11,15650,170
172,10,12,14991,170
173,10,13,15211,170
174,10,14,15431,170
175,10,15,15651,170
176,11,0,15012,170
177,11,1,15232,170
178,11,2,15452,170
179,11,3,15672,170
180,11,4,15013,170
181,11,5,15233,170
182,11,6,15453,170
183,11,7,15673,170
184,11,8,15014,170
185,11,9,15234,170
186,11,10,15454,170
187,11,11,15674,170
188,11,12,15015,170
189,11,13,15235,170
190,11,14,15455,170
191,11,15,15675,170
192,12,0,15036,170
193,12,1,15256,170
194,12,2,15476,170
195,12,3,15696,170
196,12,4,15037,170
197,12,5,15257,170
198,12,6,15477,170
199,12,7,15697,170
200,12,8,15038,170
201,12,9,15258,170
202,12,10,15478,170
203,12,11,15698,170
204,12,12,15039,170
205,12,13,15259,170
206,12,14,15479,170
207,12,15,15699,170
208,13,0,15060,170
209,13,1,15280,170
210,13,2,15500,170
211,13,3,15720,170
212,13,4,15061,170
213,13,5,15281,170
214,13,6,15501,170
215,13,7,15721,170
216,13,8,15062,170
217,13,9,15282,170
218,13,10,15502,170
219,13,11,15722,170
220,13,12,15063,170
221,13,13,15283,170
222,13,14,15503,170
223,13,15,15723,170
224,14,0,15084,170
225,14,1,15304,170
226,14,2,15524,170
227,14,3,15744,170
228,14,4,15085,170
229,14,5,15305,170
230,14,6,15525,170
231,14,7,15745,170
232,14,8,15086,170
233,14,9,15306,170
234,14,10,15526,170
235,14,11,15746,170
236,14,12,15087,170
237,14,13,15307,170
238,14,14,15527,170
239,14,15,15747,170
240,15,0,15108,170
241,15,1,15328,170
242,15,2,15548,170
243,15,3,15768,170
244,15,4,15109,170
245,15,5,15329,170
246,15,6,15549,170
247,15,7,15769,170
248,15,8,15110,170
249,15,9,15330,170
250,15,10,15550,170
251,15,11,15770,170
252,15,12,15111,170
253,15,13,15331,170
254,15,14,15551,170
255,15,15,15771,170
256,16,0,15132,170
257,16,1,15352,170
258,16,2,15572,170
259,16,3,15792,170
260,16,4,15133,170
261,16,5,15353,170
262,16,6,15573,170
263,16,7,15793,170
264,16,8,15134,170
265,16,9,15354,170
266,16,10,15574,170
267,16,11,15794,170
268,16,12,15135,170
269,16,13,15355,170
270,16,14,15575,170
271,16,15,15795,170
272,17,0,15156,170
273,17,1,15376,170
274,17,2,15596,170
275,17,3,15816,170
276,17,4,15157,170
277,17,5,15377,170
278,17,6,15597,170
279,17,7,15817,170
280,17,8,15158,170
281,17,9,15378,170
282,17,10,15598,170
283,17,11,15818,170
284,17,12,15159,170
285,17,13,15379,170
286,17,14,15599,170
287,17,15,15819,170
288,18,0,23764,170
289,18,1,23984,170
290,18,2,24204,170
291,18,3,24424,170
292,18,4,23765,170
293,18,5,23985,170
294,18,6,24205,170
295,18,7,24425,170
296,18,8,23766,170
297,18,9,23986,170
298,18,10,24206,170
299,18,11,24426,170
300,18,12,23767,170
301,18,13,23987,170
302,18,14,24207,170
303,18,15,24427,170
304,19,0,23788,170
305,19,1,24008,170
306,19,2,24228,170
307,19,3,24448,170
308,19,4,23789,170
309,19,5,24009,170
310,19,6,24229,170
311,19,7,24449,170
312,19,8,23790,170
313,19,9,24010,170
314,19,10,24230,170
315,19,11,24450,170
316,19,12,23791,170
317,19,13,24011,170
318,19,14,24231,170
319,19,15,24451,170
320,20,0,23812,170
321,20,1,24032,170
322,20,2,24252,170
323,20,3,24472,170
324,20,4,23813,170
325,20,5,24033,170
326,20,6,24253,170
327,20,7,24473,170
328,20,8,23814,170
329,20,9,24034,170
330,20,10,24254,170
331,20,11,24474,170
332,20,12,23815,170
333,20,13,24035,170
334,20,14,24255,170
335,20,15,24475,170
336,21,0,23836,170
337,21,1,24056,170
338,21,2,24276,170
339,21,3,24496,170
340,21,4,23837,170
341,21,5,24057,170
342,21,6,24277,170
343,21,7,24497,170
344,21,8,23838,170
345,21,9,24058,170
346,21,10,24278,170
347,21,11,24498,170
348,21,12,23839,170
349,21,13,24059,170
350,21,14,24279,170
351,21,15,24499,170
352,22,0,23860,170
353,22,1,24080,170
354,22,2,24300,170
355,22,3,24520,170
356,22,4,23861,170
357,22,5,24081,170
358,22,6,24301,170
359,22,7,24521,170
360,22,8,23862,170
361,22,9,24082,170
362,22,10,24302,170
363,22,11,24522,170
364,22,12,23863,170
365,22,13,24083,170
366,22,14,24303,170
367,22,15,24523,170
368,23,0,23884,170
369,23,1,24104,170
370,23,2,24324,170
371,23,3,24544,170
372,23,4,23885,170
373,23,5,24105,170
374,23,6,24325,170
375,23,7,24545,170
376,23,8,23886,170
377,23,9,24106,170
378,23,10,24326,170
379,23,11,24546,170
380,23,12,23887,170
381,23,13,24107,170
382,23,14,24327,170
383,23,15,24547,170
384,24,0,23908,170
385,24,1,24128,170
386,24,2,24348,170
387,24,3,24568,170
388,24,4,23909,170
389,24,5,24129,170
390,24,6,24349,170
391,24,7,24569,170
392,24,8,23910,170
393,24,9,24130,170
394,24,10,24350,170
395,24,11,24570,170
396,24,12,23911,170
397,24,13,24131,170
398,24,14,24351,170
399,24,15,24571,170
400,25,0,23932,170
401,25,1,24152,170
402,25,2,24372,170
403,25,3,24592,170
404,25,4,23933,170
405,25,5,24153,170
406,25,6,24373,170
407,25,7,24593,170
408,25,8,23934,170
409,25,9,24154,170
410,25,10,24374,170
411,25,11,24594,170
412,25,12,23935,170
413,25,13,24155,170
414,25,14,24375,170
415,25,15,24595,170
416,26,0,23956,170
417,26,1,24176,170
418,26,2,24396,170
419,26,3,24616,170
420,26,4,23957,170
421,26,5,24177,170
422,26,6,24397,170
423,26,7,24617,170
424,26,8,23958,170
425,26,9,24178,170
426,26,10,24398,170
427,26,11,24618,170
428,26,12,23959,170
429,26,13,24179,170
430,26,14,24399,170
431,26,15,24619,170
