,tile,el_i_in_tile,el,config
0,0,0,5738,165
1,0,1,5958,165
2,0,2,6178,165
3,0,3,6398,165
4,0,4,5739,165
5,0,5,5959,165
6,0,6,6179,165
7,0,7,6399,165
8,0,8,5740,165
9,0,9,5960,165
10,0,10,6180,165
11,0,11,6400,165
12,0,12,5741,165
13,0,13,5961,165
14,0,14,6181,165
15,0,15,6401,165
16,1,0,5762,165
17,1,1,5982,165
18,1,2,6202,165
19,1,3,6422,165
20,1,4,5763,165
21,1,5,5983,165
22,1,6,6203,165
23,1,7,6423,165
24,1,8,5764,165
25,1,9,5984,165
26,1,10,6204,165
27,1,11,6424,165
28,1,12,5765,165
29,1,13,5985,165
30,1,14,6205,165
31,1,15,6425,165
32,2,0,5786,165
33,2,1,6006,165
34,2,2,6226,165
35,2,3,6446,165
36,2,4,5787,165
37,2,5,6007,165
38,2,6,6227,165
39,2,7,6447,165
40,2,8,5788,165
41,2,9,6008,165
42,2,10,6228,165
43,2,11,6448,165
44,2,12,5789,165
45,2,13,6009,165
46,2,14,6229,165
47,2,15,6449,165
48,3,0,5810,165
49,3,1,6030,165
50,3,2,6250,165
51,3,3,6470,165
52,3,4,5811,165
53,3,5,6031,165
54,3,6,6251,165
55,3,7,6471,165
56,3,8,5812,165
57,3,9,6032,165
58,3,10,6252,165
59,3,11,6472,165
60,3,12,5813,165
61,3,13,6033,165
62,3,14,6253,165
63,3,15,6473,165
64,4,0,5834,165
65,4,1,6054,165
66,4,2,6274,165
67,4,3,6494,165
68,4,4,5835,165
69,4,5,6055,165
70,4,6,6275,165
71,4,7,6495,165
72,4,8,5836,165
73,4,9,6056,165
74,4,10,6276,165
75,4,11,6496,165
76,4,12,5837,165
77,4,13,6057,165
78,4,14,6277,165
79,4,15,6497,165
80,5,0,5858,165
81,5,1,6078,165
82,5,2,6298,165
83,5,3,6518,165
84,5,4,5859,165
85,5,5,6079,165
86,5,6,6299,165
87,5,7,6519,165
88,5,8,5860,165
89,5,9,6080,165
90,5,10,6300,165
91,5,11,6520,165
92,5,12,5861,165
93,5,13,6081,165
94,5,14,6301,165
95,5,15,6521,165
96,6,0,5882,165
97,6,1,6102,165
98,6,2,6322,165
99,6,3,6542,165
100,6,4,5883,165
