,tile,el_i_in_tile,el,config
0,0,0,3082,85
1,0,1,3302,85
2,0,2,3522,85
3,0,3,3742,85
4,0,4,3083,85
5,0,5,3303,85
6,0,6,3523,85
7,0,7,3743,85
8,0,8,3084,85
9,0,9,3304,85
10,0,10,3524,85
11,0,11,3744,85
12,0,12,3085,85
13,0,13,3305,85
14,0,14,3525,85
15,0,15,3745,85
16,1,0,3106,85
17,1,1,3326,85
18,1,2,3546,85
19,1,3,3766,85
20,1,4,3107,85
21,1,5,3327,85
22,1,6,3547,85
23,1,7,3767,85
24,1,8,3108,85
25,1,9,3328,85
26,1,10,3548,85
27,1,11,3768,85
28,1,12,3109,85
29,1,13,3329,85
30,1,14,3549,85
31,1,15,3769,85
32,2,0,3130,85
33,2,1,3350,85
34,2,2,3570,85
35,2,3,3790,85
36,2,4,3131,85
37,2,5,3351,85
38,2,6,3571,85
39,2,7,3791,85
40,2,8,3132,85
41,2,9,3352,85
42,2,10,3572,85
43,2,11,3792,85
44,2,12,3133,85
45,2,13,3353,85
46,2,14,3573,85
47,2,15,3793,85
48,3,0,3154,85
49,3,1,3374,85
50,3,2,3594,85
51,3,3,3814,85
52,3,4,3155,85
53,3,5,3375,85
54,3,6,3595,85
55,3,7,3815,85
56,3,8,3156,85
57,3,9,3376,85
58,3,10,3596,85
59,3,11,3816,85
60,3,12,3157,85
61,3,13,3377,85
62,3,14,3597,85
63,3,15,3817,85
64,4,0,3178,85
65,4,1,3398,85
66,4,2,3618,85
67,4,3,3838,85
68,4,4,3179,85
69,4,5,3399,85
70,4,6,3619,85
71,4,7,3839,85
72,4,8,3180,85
73,4,9,3400,85
74,4,10,3620,85
75,4,11,3840,85
76,4,12,3181,85
77,4,13,3401,85
78,4,14,3621,85
79,4,15,3841,85
80,5,0,3202,85
81,5,1,3422,85
82,5,2,3642,85
83,5,3,3862,85
84,5,4,3203,85
85,5,5,3423,85
86,5,6,3643,85
87,5,7,3863,85
88,5,8,3204,85
89,5,9,3424,85
90,5,10,3644,85
91,5,11,3864,85
92,5,12,3205,85
93,5,13,3425,85
94,5,14,3645,85
95,5,15,3865,85
96,6,0,3226,85
97,6,1,3446,85
98,6,2,3666,85
99,6,3,3886,85
100,6,4,3227,85
101,6,5,3447,85
102,6,6,3667,85
103,6,7,3887,85
104,6,8,3228,85
105,6,9,3448,85
106,6,10,3668,85
107,6,11,3888,85
108,6,12,3229,85
109,6,13,3449,85
110,6,14,3669,85
111,6,15,3889,85
112,7,0,3250,85
113,7,1,3470,85
114,7,2,3690,85
